,n_episodes,Mean Reward BC,Mean Reward GAIL,Rescaled Mean Reward BC,Rescaled Mean Reward GAIL
0,4,4188.3860205296505,1147.8776902482982,0.9734078631464386,0.277131999869368
1,4,4225.82001074281,1185.1973284989494,0.9819802402032582,0.2856781903472463
2,4,4180.459440415772,1419.3174738164794,0.9715926777194956,0.3392916617092643
3,11,4265.743251466796,2562.090688967151,0.9911226551813944,0.6009865233823842
4,11,4187.068084062658,2028.227377746204,0.973106055931454,0.4787319206929966
5,11,4278.16518184266,3059.259850532168,0.993967275013507,0.7148381723701004
6,18,4198.418669603339,2804.884100227893,0.9757053379881182,0.6565861710925798
7,18,4251.192578091347,3735.7598995980975,0.987790553583496,0.8697565624890231
8,18,4264.979245212504,3719.615793970365,0.9909476978859452,0.8660595651906319
9,25,4213.260361595519,1825.876524082512,0.9791040827971452,0.4323936114318928
10,25,4148.580225496029,1163.8408579914724,0.9642923432103692,0.2807875624245894
11,25,4090.8421289317976,2015.7556911856072,0.9510703294342993,0.4758759067034881
