,n_episodes,Mean Reward BC,Mean Reward GAIL,Rescaled Mean Reward BC,Rescaled Mean Reward GAIL
0,4,4258.149745047716,4064.942986277924,0.9473099986093328,0.9069643655667852
1,4,4437.749726798972,2785.462944644177,0.9848142505533252,0.6397820341943797
2,4,4328.450527853432,4490.392234026145,0.9619902800018836,0.995807112772798
3,11,4235.204737015392,4469.96445244935,0.9425185985562246,0.9915413625235908
4,11,4370.498802940117,3387.14865707634,0.9707708438264694,0.7654266602690626
5,11,4452.281968295617,4398.814726527757,0.9878488880910726,0.9766838039610004
6,18,4519.193454232297,4399.248381356205,1.0018214130437295,0.9767743602059638
7,18,4479.750321846237,3942.095188178573,0.9935848577832964,0.8813111626780238
8,18,4504.857270018338,4382.447967107893,0.9988277163883452,0.9732660805135706
9,25,4397.975097135578,4487.086376283631,0.9765084716922732,0.9951167801766732
10,25,4473.219351514965,2803.192089193859,0.9922210538766676,0.6434842522985198
11,25,4490.01660462824,4396.195245272017,0.9957286734576084,0.9761368012050988
